date,czk_eur
2024-10-11,25.295
2024-10-14,25.26
2024-10-15,25.24
2024-10-16,25.295
2024-10-17,25.25
2024-10-18,25.23
2024-10-21,25.27
2024-10-22,25.235
2024-10-23,25.24
2024-10-24,25.215
2024-10-25,25.25
2024-10-29,25.375
2024-10-30,25.375
2024-10-31,25.325
2024-11-01,25.325
2024-11-04,25.285
2024-11-05,25.34
2024-11-06,25.335
2024-11-07,25.26
2024-11-08,25.21
2024-11-11,25.34
2024-11-12,25.395
2024-11-13,25.3
2024-11-14,25.31
2024-11-15,25.29
2024-11-18,25.29
2024-11-19,25.295
2024-11-20,25.29
2024-11-21,25.33
2024-11-22,25.355
2024-11-25,25.295
2024-11-26,25.3
2024-11-27,25.27
2024-11-28,25.265
2024-11-29,25.265
2024-12-02,25.27
2024-12-03,25.225
2024-12-04,25.2
2024-12-05,25.15
2024-12-06,25.11
2024-12-09,25.095
2024-12-10,25.1
2024-12-11,25.115
2024-12-12,25.065
2024-12-13,25.02
2024-12-16,25.04
2024-12-17,25.06
2024-12-18,25.125
2024-12-19,25.12
2024-12-20,25.12
2024-12-23,25.165
2024-12-27,25.205
2024-12-30,25.23
2024-12-31,25.185
2025-01-02,25.175
2025-01-03,25.155
2025-01-06,25.16
2025-01-07,25.135
2025-01-08,25.135
2025-01-09,25.115
2025-01-10,25.09
2025-01-13,25.23
2025-01-14,25.295
2025-01-15,25.215
2025-01-16,25.23
2025-01-17,25.27
2025-01-20,25.205
2025-01-21,25.175
2025-01-22,25.145
2025-01-23,25.14
2025-01-24,25.095
2025-01-27,25.105
2025-01-28,25.09
2025-01-29,25.12
2025-01-30,25.12
2025-01-31,25.17
2025-02-03,25.245
2025-02-04,25.17
2025-02-05,25.135
2025-02-06,25.135
2025-02-07,25.105
2025-02-10,25.065
2025-02-11,25.105
2025-02-12,25.075
2025-02-13,25.055
2025-02-14,25.05
2025-02-17,25.06
2025-02-18,25.095
2025-02-19,25.1
2025-02-20,25.075
2025-02-21,25.085
2025-02-24,25.06
2025-02-25,24.94
2025-02-26,24.945
2025-02-27,24.985
2025-02-28,25.025
2025-03-03,25.1
2025-03-04,25.045
2025-03-05,25.085
2025-03-06,25.045
2025-03-07,25.005
2025-03-10,24.945
2025-03-11,24.965
2025-03-12,25.01
2025-03-13,25.095
2025-03-14,25.015
2025-03-17,25.04
2025-03-18,25.035
2025-03-19,25.0
2025-03-20,25.01
2025-03-21,24.98
2025-03-24,24.96
2025-03-25,24.885
2025-03-26,24.93
2025-03-27,24.985
2025-03-28,24.955
2025-03-31,24.965
2025-04-01,24.97
2025-04-02,24.955
2025-04-03,24.975
2025-04-04,25.145
2025-04-07,25.195
2025-04-08,25.13
2025-04-09,25.17
2025-04-10,25.105
2025-04-11,25.16
2025-04-14,25.1
2025-04-15,25.07
2025-04-16,25.01
2025-04-17,25.01
2025-04-22,25.08
2025-04-23,25.005
2025-04-24,24.97
2025-04-25,24.93
2025-04-28,24.965
2025-04-29,24.92
2025-04-30,24.93
2025-05-02,24.92
2025-05-05,24.905
2025-05-06,24.96
2025-05-07,24.93
2025-05-09,24.945
2025-05-12,24.98
2025-05-13,24.945
2025-05-14,24.925
2025-05-15,24.925
2025-05-16,24.93
2025-05-19,24.905
2025-05-20,24.92
2025-05-21,24.87
2025-05-22,24.94
2025-05-23,24.91
2025-05-26,24.865
2025-05-27,24.905
2025-05-28,24.92
2025-05-29,24.92
2025-05-30,24.93
2025-06-02,24.91
2025-06-03,24.895
2025-06-04,24.81
2025-06-05,24.815
2025-06-06,24.75
2025-06-09,24.795
2025-06-10,24.78
2025-06-11,24.78
2025-06-12,24.79
2025-06-13,24.84
2025-06-16,24.785
2025-06-17,24.805
2025-06-18,24.805
2025-06-19,24.82
2025-06-20,24.825
2025-06-23,24.865
2025-06-24,24.795
2025-06-25,24.78
2025-06-26,24.78
2025-06-27,24.745
